gvkey,datadate,fyear,tic,revt,sic
001004,20190531,2018,AIR,2051.8000,5080
001045,20191231,2019,AAL,45768.0000,4512
001050,20191231,2019,CECE,341.8690,3564
001062,20191130,2019,ASA,2.3710,6799
001062,20191130,2019,ASA,96.1280,6799
001072,20190331,2018,AVX,1791.7900,3670
001075,20191231,2019,PNW,3471.2090,4911
001076,20191231,2019,PRG,3947.6560,7359
001078,20191231,2019,ABT,31904.0000,3845
001084,20191231,2019,WDDD,0.0000,7370
001096,20191231,2019,MRCBF,1192.9730,6500
001097,20191231,2019,ACMTA,4.0070,6351
001104,20191231,2019,ACU,142.4570,3420
001117,20191231,2019,BKTI,40.1000,3663
001121,20191231,2019,AE,1811.2470,5172
001161,20191231,2019,AMD,6731.0000,3674
001166,20191231,2019,ASMIY,1262.0750,3559
001186,20191231,2019,AEM,2494.8920,1040
001209,20190930,2019,APD,8918.9000,2810
001210,20190331,2018,AIRT,249.8340,4513
001224,20190930,2019,EGN1,465.5000,4924
001225,20191231,2019,SO1,6125.0000,4911
001230,20191231,2019,ALK,8781.0000,4512
001234,20191231,2019,ATRI,155.0660,3841
001254,20191231,2019,MATX,2203.1000,4400
001257,20191231,2019,ALX,226.3500,6798
001257,20191231,2019,ALX,234.5940,6798
001262,20191231,2019,AGMJF,567.9080,4400
001266,20190930,2019,ALCO,122.2510,0100
001272,20190630,2019,PBAJ,0.0000,9995
001274,20191231,2019,Y,9025.7160,6331
001274,20191231,2019,Y,9069.6160,6331
001300,20191231,2019,HON,36709.0000,9997
001327,20190930,2019,SWKS,3376.8000,3674
001380,20191231,2019,HES,6495.0000,1311
001388,20191231,2019,AMR1,45761.0000,4512
001393,20190331,2018,UHAL,3768.7070,7510
001397,20191231,2019,ABLT,204.8110,2670
001410,20191031,2019,ABM,6498.6000,7340
001414,20191231,2019,PRI,2061.3600,6311
001414,20191231,2019,PRI,2052.5040,6311
001439,20191231,2019,ECOL,685.5090,4955
001440,20191231,2019,AEP,15561.4000,4911
001447,20191231,2019,AXP,47020.0000,6141
001447,20191231,2019,AXP,47020.0000,6141
001448,20191231,2019,AXP1,1615.0000,6153
001449,20191231,2019,AFL,22369.0000,6321
001449,20191231,2019,AFL,22484.0000,6321
001487,20191231,2019,AIG,49987.0000,6331
001487,20191231,2019,AIG,49310.0000,6331
001526,20191231,2019,ANAT,4070.1430,6311
001526,20191231,2019,ANAT,4070.1430,6311
001545,20191231,2019,ARL,73.9250,6513
001545,20191231,2019,ARL,98.6220,6513
001559,20191231,2019,AMS,20.6050,8090
001562,20190430,2018,AMSWA,108.7060,7372
001585,20191231,2019,AVD,468.1860,2870
001598,20191231,2019,AME,5158.5570,3823
001602,20191231,2019,AMGN,23362.0000,2836
001613,20191231,2019,AP,397.9040,3460
001618,20190430,2018,AXR,12.9460,6552
001618,20190430,2018,AXR,12.8310,6552
001632,20191031,2019,ADI,5991.0650,3674
001650,20191231,2019,ANDR,1.8950,3663
001659,20191231,2019,ANDE,8170.1910,5150
001661,20191231,2019,NBR,3043.3830,1381
001678,20191231,2019,APA,6280.0000,1311
001686,20190228,2018,APOG,1402.6370,3442
001689,20191231,2019,AEP1,2924.7000,4911
001690,20190930,2019,AAPL,260174.0000,3663
001704,20191031,2019,AMAT,14608.0000,3559
001706,20190831,2019,EPAC,654.7580,3533
001712,20191231,2019,TREC,258.9590,2911
001718,20190630,2019,AOXY,0.0380,6512
001722,20191231,2019,ADM,64656.0000,2070
001742,20191231,2019,PNW1,3471.2090,4911
001743,20191231,2019,ARCB,2988.3100,4213
001745,20191231,2019,ETR1,2259.5940,4911
001773,20191231,2019,ARW,28916.8470,5065
001783,20191130,2019,ARTW,22.8890,3523
001790,20191231,2019,AB.H,3.2200,6799
001794,20190930,2019,ASH,2493.0000,2820
001820,20190131,2018,ALOT,136.6570,3577
001823,20191231,2019,ATRO,772.7020,3640
001828,20191231,2019,ACLLF,4706.0000,4932
001837,20191231,2019,SO7,3792.0000,4924
001864,20190131,2018,REX,486.6710,2860
001878,20190131,2018,ADSK,2569.8000,7370
001891,20190630,2019,ADP,14175.2000,7374
001913,20191231,2019,AVY,7070.1000,2670
001919,20190630,2019,AVT,19518.5920,5065
001926,20190228,2018,AZZ,927.0870,3640
001932,20191231,2019,BTI,34271.4990,2111
001949,20191231,2019,BRT,39.4850,6798
001949,20191231,2019,BRT,28.8670,6798
001968,20191231,2019,BMI,424.6250,3824
001979,20191231,2019,BCPC,643.7050,2834
001982,20191231,2019,PTVCB,493.9530,6331
001982,20191231,2019,PTVCB,498.2640,6331
001988,20191231,2019,BLL,11474.0000,3411
002002,20191231,2019,BPOP,2830.6760,6020
002002,20191231,2019,BPOP,2830.6760,6020
002005,20191231,2019,BOH,770.7350,6020
002005,20191231,2019,BOH,770.7350,6020
002019,20191231,2019,BK,20007.0000,6020
002019,20191231,2019,BK,19353.0000,6020
002049,20191231,2019,B,1491.1180,3490
002052,20190930,2019,BRN,12.0130,1311
002055,20191231,2019,GOLD,9717.0000,1040
002080,20191130,2019,BSET,452.0870,2511
002086,20191231,2019,BAX,11362.0000,2834
002101,20190630,2019,AIT,3472.7390,5080
002111,20190930,2019,BDX,17290.0000,3841
002124,20191231,2019,BELFB,492.4120,3677
002136,20191231,2019,VZ,131868.0000,4812
002137,20191231,2019,BCE,23964.0000,4813
002176,20191231,2019,BRK.B,327223.0000,9997
002176,20191231,2019,BRK.B,328399.0000,9997
002184,20190131,2018,BBY,42879.0000,5731
002220,20191231,2019,BIO,2311.6590,3826
002240,20190731,2019,NIMU,0.0000,3845
002259,20191231,2019,BKH,1734.9000,4911
002269,20190430,2018,HRB,3094.8810,7200
002270,20191231,2019,VALPQ,2053.2000,1381
002277,20191031,2019,BRRE,4.9870,6500
002285,20191231,2019,BA,84818.0000,3721
002312,20191231,2019,RHI,6074.4320,7363
002316,20191231,2019,0141A,3374.0000,2860
002337,20191231,2019,RFP,2923.0000,2621
002342,20190630,2019,BWL.A,24.4190,7900
002352,20190731,2019,BRC,1160.6450,3990
002369,20191231,2019,BAM,69111.0000,6200
002369,20191231,2019,BAM,71231.0000,6200
002390,20191031,2019,BRID,188.7850,2013
002393,20190630,2019,BGGSQ,1836.6050,3510
002403,20191231,2019,BMY,26145.0000,2834
002408,20191231,2019,TU,14589.0000,4812
002410,20191231,2019,BP,278397.0000,2911
002411,20190331,2018,BTY10,30550.6560,4813
002435,20190430,2018,BF.B,3324.0000,2085
002436,20190131,2018,CAL,2834.8460,3140
002444,20191231,2019,BC,4108.4000,3510
002448,20191231,2019,MTRN,1185.4240,3330
