"","X.GSPC","X.VIX","X.FTSE","X.HSI","X.IXIC","X.GDAXI","X.N225","X.DJI"
"2000-01-03",1455.219971,24.209999,NA,17369.630859,4131.149902,6750.759766,NA,11357.509766
"2000-01-04",1399.420044,27.01,6665.899902,17072.820313,3901.689941,6586.950195,19002.859375,10997.929688
"2000-01-05",1402.109985,26.41,6535.899902,15846.719727,3877.540039,6502.069824,18542.550781,11122.650391
"2000-01-06",1403.449951,25.73,6447.200195,15153.230469,3727.129883,6474.919922,18168.269531,11253.259766
"2000-01-07",1441.469971,21.719999,6504.799805,15405.629883,3882.620117,6780.959961,18193.410156,11522.55957
"2000-01-10",1457.599976,21.709999,6607.700195,15848.150391,4049.669922,6925.52002,NA,11572.200195
"2000-01-11",1438.560059,22.5,6518.899902,15862.099609,3921.189941,6891.25,18850.919922,11511.080078
"2000-01-12",1432.25,22.84,6532.799805,15714.200195,3850.02002,6912.810059,18677.419922,11551.099609
"2000-01-13",1449.680054,21.709999,6531.5,15633.959961,3957.209961,6955.97998,18833.289063,11582.429688
"2000-01-14",1465.150024,19.66,6658.200195,15542.230469,4064.27002,7173.220215,18956.550781,11722.980469
"2000-01-17",NA,NA,6669.5,15574.55957,NA,7258.899902,19437.230469,NA
"2000-01-18",1455.140015,21.5,6504.600098,15789.200195,4130.810059,7072.120117,19196.570313,11560.719727
"2000-01-19",1455.900024,21.719999,6445.5,15275.339844,4151.290039,7091.040039,18897.75,11489.360352
"2000-01-20",1445.569946,21.75,6348.700195,15215.30957,4189.509766,7112.660156,19008.009766,11351.299805
"2000-01-21",1441.359985,20.82,6346.299805,15108.410156,4235.399902,6992.75,18878.089844,11251.709961
"2000-01-24",1401.530029,24.07,6379.799805,15167.549805,4096.080078,6931.990234,19056.710938,11008.169922
"2000-01-25",1410.030029,23.02,6274.100098,15103.040039,4167.410156,6809.640137,18895.529297,11029.889648
"2000-01-26",1404.089966,23.030001,6375.600098,15427.719727,4069.909912,6969.370117,19111.189453,11032.990234
"2000-01-27",1398.560059,23.540001,6441,15917.80957,4039.560059,7126.129883,19209.720703,11028.019531
"2000-01-28",1360.160034,26.139999,6375.600098,16185.94043,3887.070068,7066.600098,19434.779297,10738.870117
"2000-01-31",1394.459961,24.950001,6268.5,15532.339844,3940.350098,6835.600098,19539.699219,10940.530273
"2000-02-01",1409.280029,23.450001,6290.899902,15653.860352,4051.97998,7050.459961,19423.380859,11041.049805
"2000-02-02",1409.119995,23.120001,6302.799805,15789.820313,4073.959961,7171.950195,19578.910156,11003.200195
"2000-02-03",1424.969971,22.01,6324.299805,15968.120117,4210.97998,7354.259766,19786.419922,11013.44043
"2000-02-04",1424.369995,21.540001,6185,NA,4244.140137,7444.609863,19763.130859,10963.799805
"2000-02-07",1424.23999,22.790001,6118.600098,NA,4321.77002,7296.319824,19945.429688,10905.790039
"2000-02-08",1441.719971,21.25,6285.799805,16228.730469,4427.5,7549.879883,19868.880859,10957.599609
"2000-02-09",1411.709961,22.9,6315.399902,16819.460938,4363.240234,7629.109863,20007.769531,10699.160156
"2000-02-10",1416.829956,23.07,6279.799805,16845.169922,4485.629883,7709.27002,19710.019531,10643.629883
"2000-02-11",1387.119995,24.42,6193.299805,17380.300781,4395.450195,7611.549805,NA,10425.209961
"2000-02-14",1389.939941,24.379999,6068.600098,17188.960938,4418.549805,7644.799805,19556.460938,10519.839844
"2000-02-15",1402.050049,22.92,6005.200195,16688.160156,4420.77002,7396.129883,19367.830078,10718.089844
