gvkey,datadate,fyear,tic,conm,revt,state
001004,20200531,2019,AIR,AAR CORP,2089.3000,IL
001045,20191231,2019,AAL,AMERICAN AIRLINES GROUP INC,45768.0000,TX
001050,20191231,2019,CECE,CECO ENVIRONMENTAL CORP,341.8690,TX
001062,20191130,2019,ASA,ASA GOLD AND PRECIOUS METALS,2.3710,CA
001062,20191130,2019,ASA,ASA GOLD AND PRECIOUS METALS,96.1280,CA
001075,20191231,2019,PNW,PINNACLE WEST CAPITAL CORP,3471.2090,AZ
001076,20191231,2019,PRG,PROG HOLDINGS INC,3947.6560,UT
001078,20191231,2019,ABT,ABBOTT LABORATORIES,31904.0000,IL
001084,20191231,2019,WDDD,WORLDS INC,0.0000,MA
001096,20191231,2019,MRCBF,MORGUARD CORP,1192.9730,ON
001097,20191231,2019,ACMTA,ACMAT CORP  -CL A,4.0070,CT
001104,20191231,2019,ACU,ACME UNITED CORP,142.4570,CT
001117,20191231,2019,BKTI,BK TECHNOLOGIES CORP,40.1000,FL
001121,20191231,2019,AE,ADAMS RESOURCES & ENERGY INC,1811.2470,TX
001161,20191231,2019,AMD,ADVANCED MICRO DEVICES,6731.0000,CA
001186,20191231,2019,AEM,AGNICO EAGLE MINES LTD,2494.8920,ON
001209,20190930,2019,APD,AIR PRODUCTS & CHEMICALS INC,8918.9000,PA
001210,20200331,2019,AIRT,AIR T INC,236.7850,NC
001224,20190930,2019,EGN1,ALABAMA GAS CORP,465.5000,AL
001225,20191231,2019,SO1,ALABAMA POWER CO,6125.0000,AL
001230,20191231,2019,ALK,ALASKA AIR GROUP INC,8781.0000,WA
001234,20191231,2019,ATRI,ATRION CORP,155.0660,TX
001254,20191231,2019,MATX,MATSON INC,2203.1000,HI
001257,20191231,2019,ALX,ALEXANDER'S INC,234.5940,NJ
001257,20191231,2019,ALX,ALEXANDER'S INC,226.3500,NJ
001262,20191231,2019,AGMJF,ALGOMA CENTRAL CORP,567.9080,ON
001266,20190930,2019,ALCO,ALICO INC,122.2510,FL
001272,20190630,2019,PBAJ,PETRO USA INC,0.0000,NY
001274,20191231,2019,Y,ALLEGHANY CORP,9069.6160,NY
001274,20191231,2019,Y,ALLEGHANY CORP,9025.7160,NY
001300,20191231,2019,HON,HONEYWELL INTERNATIONAL INC,36709.0000,NC
001327,20190930,2019,SWKS,SKYWORKS SOLUTIONS INC,3376.8000,CA
001380,20191231,2019,HES,HESS CORP,6495.0000,NY
001388,20191231,2019,AMR1,AMERICAN AIRLINES INC,45761.0000,TX
001393,20200331,2019,UHAL,AMERCO,3978.8680,NV
001397,20191231,2019,ABLT,AMERICAN BILTRITE INC,204.8110,MA
001410,20191031,2019,ABM,ABM INDUSTRIES INC,6498.6000,NY
001414,20191231,2019,PRI,PRIMERICA INC,2052.5040,GA
001414,20191231,2019,PRI,PRIMERICA INC,2061.3600,GA
001439,20191231,2019,ECOL,US ECOLOGY INC,685.5090,ID
001440,20191231,2019,AEP,AMERICAN ELECTRIC POWER CO,15561.4000,OH
001447,20191231,2019,AXP,AMERICAN EXPRESS CO,47020.0000,NY
001447,20191231,2019,AXP,AMERICAN EXPRESS CO,47020.0000,NY
001448,20191231,2019,AXP1,AMERICAN EXPRESS CREDIT CORP,1615.0000,NY
001449,20191231,2019,AFL,AFLAC INC,22484.0000,GA
001449,20191231,2019,AFL,AFLAC INC,22369.0000,GA
001487,20191231,2019,AIG,AMERICAN INTERNATIONAL GROUP,49987.0000,NY
001487,20191231,2019,AIG,AMERICAN INTERNATIONAL GROUP,49310.0000,NY
001526,20191231,2019,ANAT,AMERICAN NATIONAL GROUP INC,4070.1430,TX
001526,20191231,2019,ANAT,AMERICAN NATIONAL GROUP INC,4070.1430,TX
001545,20191231,2019,ARL,AMERICAN REALTY INVESTORS,98.6220,TX
001545,20191231,2019,ARL,AMERICAN REALTY INVESTORS,73.9250,TX
001559,20191231,2019,AMS,AMERICAN SHARED HSPTL SERV,20.6050,CA
001562,20200430,2019,AMSWA,AMERICAN SOFTWARE  -CL A,115.4660,GA
001585,20191231,2019,AVD,AMERICAN VANGUARD CORP,468.1860,CA
001598,20191231,2019,AME,AMETEK INC,5158.5570,PA
001602,20191231,2019,AMGN,AMGEN INC,23362.0000,CA
001613,20191231,2019,AP,AMPCO-PITTSBURGH CORP,397.9040,PA
001618,20200430,2019,AXR,AMREP CORP,19.2990,PA
001618,20200430,2019,AXR,AMREP CORP,18.7830,PA
001632,20191031,2019,ADI,ANALOG DEVICES,5991.0650,MA
001650,20191231,2019,ANDR,ANDREA ELECTRONICS CORP,1.8950,NY
001659,20191231,2019,ANDE,ANDERSONS INC,8170.1910,OH
001678,20191231,2019,APA,APACHE CORP,6280.0000,TX
001686,20200229,2019,APOG,APOGEE ENTERPRISES INC,1387.4390,MN
001689,20191231,2019,AEP1,APPALACHIAN POWER,2924.7000,OH
001690,20190930,2019,AAPL,APPLE INC,260174.0000,CA
001704,20191031,2019,AMAT,APPLIED MATERIALS INC,14608.0000,CA
001706,20190831,2019,EPAC,ENERPAC TOOL GROUP CORP,654.7580,WI
001712,20191231,2019,TREC,TRECORA RESOURCES,258.9590,TX
001718,20190630,2019,AOXY,ADVANCED OXYGEN TECHNOLOGY,0.0380,VT
001722,20191231,2019,ADM,ARCHER-DANIELS-MIDLAND CO,64656.0000,IL
001742,20191231,2019,PNW1,ARIZONA PUBLIC SERVICE CO,3471.2090,AZ
001743,20191231,2019,ARCB,ARCBEST CORP,2988.3100,AR
001745,20191231,2019,ETR1,ENTERGY ARKANSAS,2259.5940,AR
001773,20191231,2019,ARW,ARROW ELECTRONICS INC,28916.8470,CO
001783,20191130,2019,ARTW,ARTS WAY MFG INC,22.8890,IA
001790,20191231,2019,AB.H,ASBESTOS CORP LTD,3.2200,QC
001794,20190930,2019,ASH,ASHLAND GLOBAL HOLDINGS INC,2493.0000,KY
001820,20200131,2019,ALOT,ASTRONOVA INC,133.4460,RI
001823,20191231,2019,ATRO,ASTRONICS CORP,772.7020,NY
001828,20191231,2019,ACLLF,ATCO LTD  -CL I,4706.0000,AB
001837,20191231,2019,SO7,SOUTHERN CO GAS,3792.0000,GA
001864,20200131,2019,REX,REX AMERICAN RESOURCES CORP,418.0340,OH
001878,20200131,2019,ADSK,AUTODESK INC,3274.3000,CA
001891,20190630,2019,ADP,AUTOMATIC DATA PROCESSING,14175.2000,NJ
001913,20191231,2019,AVY,AVERY DENNISON CORP,7070.1000,CA
001919,20190630,2019,AVT,AVNET INC,19518.5920,AZ
001926,20200229,2019,AZZ,AZZ INC,1061.8170,TX
001949,20191231,2019,BRT,BRT APARTMENTS CORP,28.8670,NY
001949,20191231,2019,BRT,BRT APARTMENTS CORP,39.4850,NY
001968,20191231,2019,BMI,BADGER METER INC,424.6250,WI
001979,20191231,2019,BCPC,BALCHEM CORP  -CL B,643.7050,NY
001982,20191231,2019,PTVCB,PROTECTIVE INSURANCE CORP,493.9530,IN
001982,20191231,2019,PTVCB,PROTECTIVE INSURANCE CORP,498.2640,IN
001988,20191231,2019,BLL,BALL CORP,11474.0000,CO
002002,20191231,2019,BPOP,POPULAR INC,2830.6760,PR
002002,20191231,2019,BPOP,POPULAR INC,2830.6760,PR
002005,20191231,2019,BOH,BANK OF HAWAII CORP,770.7350,HI
002005,20191231,2019,BOH,BANK OF HAWAII CORP,770.7350,HI
002019,20191231,2019,BK,BANK OF NEW YORK MELLON CORP,19353.0000,NY
002019,20191231,2019,BK,BANK OF NEW YORK MELLON CORP,20007.0000,NY
002049,20191231,2019,B,BARNES GROUP INC,1491.1180,CT
002052,20190930,2019,BRN,BARNWELL INDUSTRIES,12.0130,HI
002055,20191231,2019,GOLD,BARRICK GOLD CORP,9717.0000,ON
002080,20191130,2019,BSET,BASSETT FURNITURE INDS,452.0870,VA
002086,20191231,2019,BAX,BAXTER INTERNATIONAL INC,11362.0000,IL
002101,20190630,2019,AIT,APPLIED INDUSTRIAL TECH INC,3472.7390,OH
002111,20190930,2019,BDX,BECTON DICKINSON & CO,17290.0000,NJ
002124,20191231,2019,BELFB,BEL FUSE INC,492.4120,NJ
002136,20191231,2019,VZ,VERIZON COMMUNICATIONS INC,131868.0000,NY
002137,20191231,2019,BCE,BCE INC,23964.0000,QC
002176,20191231,2019,BRK.B,BERKSHIRE HATHAWAY,328399.0000,NE
002176,20191231,2019,BRK.B,BERKSHIRE HATHAWAY,327223.0000,NE
002184,20200131,2019,BBY,BEST BUY CO INC,43638.0000,MN
002220,20191231,2019,BIO,BIO-RAD LABORATORIES INC,2311.6590,CA
002240,20190731,2019,NIMU,NON INVASIVE MONITOR,0.0000,FL
002259,20191231,2019,BKH,BLACK HILLS CORP,1734.9000,SD
002269,20200430,2019,HRB,BLOCK H & R INC,2639.7200,MO
002277,20191031,2019,BRRE,BLUE RIDGE REAL ESTATE CO,4.9870,PA
002285,20191231,2019,BA,BOEING CO,84818.0000,IL
002312,20191231,2019,RHI,ROBERT HALF INTL INC,6074.4320,CA
002316,20191231,2019,0141A,HEXION INC,3374.0000,OH
002337,20191231,2019,RFP,RESOLUTE FOREST PRODUCTS INC,2923.0000,QC
002342,20190630,2019,BWL.A,BOWL AMERICA INC  -CL A,24.4190,VA
002352,20190731,2019,BRC,BRADY CORP,1160.6450,WI
002369,20191231,2019,BAM,BROOKFIELD ASSET MANAGEMENT,69111.0000,ON
002369,20191231,2019,BAM,BROOKFIELD ASSET MANAGEMENT,71231.0000,ON
002390,20191031,2019,BRID,BRIDGFORD FOODS CORP,188.7850,CA
002393,20190630,2019,BGGSQ,BRIGGS & STRATTON,1836.6050,WI
002403,20191231,2019,BMY,BRISTOL-MYERS SQUIBB CO,26145.0000,NY
002408,20191231,2019,TU,TELUS CORP,14589.0000,BC
002435,20200430,2019,BF.B,BROWN FORMAN CORP,3363.0000,KY
002436,20200131,2019,CAL,CALERES INC,2921.5620,MO
002444,20191231,2019,BC,BRUNSWICK CORP,4108.4000,IL
002448,20191231,2019,MTRN,MATERION CORP,1185.4240,OH
002490,20191231,2019,BRK3,BURLINGTON NORTHERN SANTA FE,23515.0000,TX
002497,20191231,2019,MTZ,MASTEC INC,7183.1880,FL
002504,20191231,2019,UIS,UNISYS CORP,2931.2000,PA
002519,20200430,2019,BUKS,BUTLER NATIONAL CORP,65.8710,KS
002526,20200331,2019,CAE,CAE INC,3623.2000,QC
002536,20200331,2019,RAMP,LIVERAMP HOLDINGS INC,380.5720,CA
002547,20191231,2019,CI,CIGNA CORP,153699.0000,CT
002547,20191231,2019,CI,CIGNA CORP,153796.0000,CT
002558,20191231,2019,CNA,CNA FINANCIAL CORP,10830.0000,IL
