DATE,vwretd,ewretd,sprtrn
20070131,0.019387,0.022283,0.014059
20070228,-0.014006,0.002111,-0.021846
20070330,0.012954,0.006545,0.009980
20070430,0.039834,0.027048,0.043291
20070531,0.038953,0.023123,0.032549
20070629,-0.014747,-0.007907,-0.017816
20070731,-0.031790,-0.043537,-0.031982
20070831,0.011593,-0.011712,0.012864
20070928,0.040822,0.025364,0.035794
20071031,0.025910,0.017406,0.014822
20071130,-0.049362,-0.076621,-0.044043
20071231,-0.004405,-0.011018,-0.008628
20080131,-0.062218,-0.045066,-0.061163
20080229,-0.021697,-0.021401,-0.034761
20080331,-0.010444,-0.025309,-0.005960
20080430,0.051199,0.031907,0.047547
20080530,0.023935,0.031787,0.010674
20080630,-0.078436,-0.086586,-0.085962
20080731,-0.013413,-0.001295,-0.009859
20080829,0.010597,0.013023,0.012191
20080930,-0.098172,-0.120112,-0.090791
20081031,-0.184838,-0.205222,-0.169425
20081128,-0.084686,-0.130320,-0.074849
20081231,0.022231,0.042176,0.007822
20090130,-0.077475,-0.024042,-0.085657
20090227,-0.100175,-0.107606,-0.109931
20090331,0.086813,0.107474,0.085405
20090430,0.109483,0.192762,0.093925
20090529,0.067797,0.102330,0.053081
20090630,-0.003020,0.023921,0.000196
20090731,0.081792,0.085217,0.074142
20090831,0.031514,0.056864,0.033560
20090930,0.045288,0.071255,0.035723
20091030,-0.028079,-0.050612,-0.019762
20091130,0.057086,0.028476,0.057364
20091231,0.028486,0.055001,0.017771
20100129,-0.037186,-0.011388,-0.036974
20100226,0.034754,0.033603,0.028514
20100331,0.063688,0.069289,0.058796
20100430,0.020039,0.057843,0.014759
20100528,-0.079267,-0.076929,-0.081976
20100630,-0.050802,-0.056799,-0.053882
20100730,0.070384,0.059940,0.068778
20100831,-0.042887,-0.047566,-0.047449
20100930,0.091669,0.096418,0.087551
20101029,0.038606,0.040681,0.036856
20101130,0.005121,0.010736,-0.002290
20101231,0.067213,0.068851,0.065300
20110131,0.019190,0.014412,0.022646
20110228,0.038168,0.037036,0.031957
20110331,0.003343,0.008605,-0.001047
20110429,0.028602,0.019203,0.028495
20110531,-0.014958,-0.018549,-0.013501
20110630,-0.018453,-0.024106,-0.018258
20110729,-0.022550,-0.021813,-0.021474
20110831,-0.057597,-0.075715,-0.056791
20110930,-0.085030,-0.100920,-0.071762
20111031,0.114215,0.107697,0.107723
20111130,-0.006273,-0.020645,-0.005059
20111230,0.003671,-0.003561,0.008533
20120131,0.054140,0.085342,0.043583
20120229,0.041253,0.036494,0.040589
20120330,0.024039,0.017608,0.031332
20120430,-0.006840,-0.009106,-0.007497
20120531,-0.065641,-0.068418,-0.062651
20120629,0.038181,0.034188,0.039555
20120731,0.010306,-0.003281,0.012598
20120831,0.026337,0.024820,0.019763
20120928,0.026532,0.034925,0.024236
20121031,-0.014064,-0.013477,-0.019789
20121130,0.006219,0.002790,0.002847
20121231,0.012580,0.021872,0.007068
20130131,0.054189,0.063509,0.050428
20130228,0.008284,0.003491,0.011061
20130328,0.035320,0.031419,0.035988
20130430,0.014942,0.002477,0.018086
20130531,0.019155,0.023985,0.020763
20130628,-0.015071,-0.013012,-0.014999
20130731,0.052690,0.054898,0.049462
20130830,-0.025761,-0.017278,-0.031298
20130930,0.037514,0.051828,0.029749
20131031,0.039908,0.025762,0.044596
20131129,0.024973,0.023398,0.028049
20131231,0.026160,0.025242,0.023563
20140131,-0.030047,-0.001282,-0.035583
20140228,0.046225,0.044257,0.043117
20140331,0.004544,0.001028,0.006932
20140430,0.001569,-0.022319,0.006201
20140530,0.020260,0.006647,0.021030
20140630,0.027991,0.039501,0.019058
20140731,-0.020568,-0.035236,-0.015080
20140829,0.040226,0.033707,0.037655
20140930,-0.025208,-0.044988,-0.015514
20141031,0.021172,0.014177,0.023201
20141128,0.021114,-0.002458,0.024534
20141231,-0.003661,-0.000181,-0.004189
20150130,-0.027207,-0.019077,-0.031041
20150227,0.055999,0.054161,0.054893
20150331,-0.010410,-0.005110,-0.017396
20150430,0.008776,0.015129,0.008521
20150529,0.010269,0.003983,0.010491
20150630,-0.019272,-0.013480,-0.021012
20150731,0.012063,-0.027158,0.019742
20150831,-0.059979,-0.047287,-0.062581
20150930,-0.033831,-0.049928,-0.026443
20151030,0.074040,0.052880,0.082983
20151130,0.002426,0.007340,0.000505
20151231,-0.022288,-0.035903,-0.017530
20160129,-0.057180,-0.074949,-0.050735
20160229,0.000604,0.005587,-0.004128
20160331,0.070581,0.078190,0.065991
20160429,0.011737,0.039878,0.002699
20160531,0.014269,-0.000625,0.015329
20160630,0.002926,0.005826,0.000906
20160729,0.038846,0.049896,0.035610
20160831,0.002800,0.013063,-0.001219
20160930,0.003020,0.015381,-0.001234
20161031,-0.021586,-0.039942,-0.019426
20161130,0.040546,0.050511,0.034174
20161230,0.018768,0.015881,0.018201
20170131,0.022177,0.025942,0.017884
20170228,0.032632,0.017117,0.037198
20170331,0.002095,0.006410,-0.000389
20170428,0.009628,0.003691,0.009091
20170531,0.009303,-0.011327,0.011576
20170630,0.009551,0.022945,0.004814
20170731,0.020309,0.009089,0.019349
20170831,0.001575,-0.008740,0.000546
20170929,0.023777,0.046863,0.019303
20171031,0.019277,0.002217,0.022188
20171130,0.027252,0.020848,0.028083
20171229,0.012153,0.014234,0.009832
20180131,0.050627,0.029440,0.056179
20180228,-0.039511,-0.040040,-0.038947
20180329,-0.018454,0.001183,-0.026885
20180430,0.004710,0.008205,0.002719
20180531,0.026175,0.034612,0.021608
20180629,0.005363,0.002819,0.004842
20180731,0.031603,0.006800,0.036022
20180831,0.030204,0.019158,0.030263
20180928,0.000432,-0.010314,0.004294
20181031,-0.074076,-0.082433,-0.069403
20181130,0.018489,0.000576,0.017859
20181231,-0.089889,-0.099310,-0.091777
20190131,0.088295,0.120268,0.078684
20190228,0.032724,0.038566,0.029729
20190329,0.012964,-0.003896,0.017924
20190430,0.037889,0.020323,0.039313
20190531,-0.061679,-0.064571,-0.065778
20190628,0.067279,0.049002,0.068930
20190731,0.011854,-0.005245,0.013128
20190830,-0.020339,-0.040001,-0.018092
20190930,0.016033,0.017681,0.017181
20191031,0.019256,0.006291,0.020432
20191129,0.034997,0.026601,0.034047
20191231,0.028491,0.044379,0.028590
20200131,-0.001728,-0.013334,-0.001628
20200228,-0.077918,-0.069814,-0.084110
20200331,-0.141733,-0.207501,-0.125119
20200430,0.129677,0.153872,0.126844
20200529,0.053739,0.064070,0.045282
20200630,0.025299,0.057391,0.018388
20200731,0.055529,0.040736,0.055101
20200831,0.068443,0.038884,0.070065
20200930,-0.035057,-0.027356,-0.039228
20201030,-0.020178,0.000584,-0.027666
20201130,0.123707,0.174412,0.107546
20201231,0.045048,0.072853,0.037121
